HITId,WorkerId,Image_1,Image_2,Similarity_Rating
3BAKUKE49HC2W5OER0MSUMWJWAB1RA,AK4ZRSQMRTXTJ,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed1445_pos0007.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed1445_pos0008.png,9 - extremely similar
3BAKUKE49HC2W5OER0MSUMWJWAB1RA,AQIP3DSYXEXX5,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed1445_pos0007.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed1445_pos0008.png,6 - somewhat similar
3BAKUKE49HC2W5OER0MSUMWJWAB1RA,AWTCGY2CL1T68,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed1445_pos0007.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed1445_pos0008.png,8 - very similar
3DWNFENNE3V2QG2K6DWLQTHVYDR4JY,A12EETVU3IGPZZ,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed303_pos0000.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed303_pos0001.png,8 - very similar
3DWNFENNE3V2QG2K6DWLQTHVYDR4JY,A1HN33NI2056CH,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed303_pos0000.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed303_pos0001.png,6 - somewhat similar
3DWNFENNE3V2QG2K6DWLQTHVYDR4JY,A1IPS3LW1DG9DR,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed303_pos0000.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed303_pos0001.png,7 - mostly similar
3DWNFENNE3V2QG2K6DWLQTHVYDR4JY,A1WY3YGT618GC0,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed303_pos0000.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed303_pos0001.png,8 - very similar
3DWNFENNE3V2QG2K6DWLQTHVYDR4JY,A2VT76B226AKW2,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed303_pos0000.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed303_pos0001.png,4 - somewhat different
3DWNFENNE3V2QG2K6DWLQTHVYDR4JY,A338Z60DAJOHN,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed303_pos0000.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed303_pos0001.png,9 - extremely similar
3DWNFENNE3V2QG2K6DWLQTHVYDR4JY,A39XAYMFTBZIYV,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed303_pos0000.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed303_pos0001.png,8 - very similar
3DWNFENNE3V2QG2K6DWLQTHVYDR4JY,A3RDUP1GZ2FXYY,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed303_pos0000.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed303_pos0001.png,9 - extremely similar
3DWNFENNE3V2QG2K6DWLQTHVYDR4JY,AY7M9MOLNXIIK,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed303_pos0000.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed303_pos0001.png,3 - mostly different
373L46LKP76N4IRNR5J1XA6RVZHJK3,A1HU1TJZZ2SS1X,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed51_pos0012.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed51_pos0013.png,8 - very similar
373L46LKP76N4IRNR5J1XA6RVZHJK3,A1O8UCJE4SB5VO,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed51_pos0012.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed51_pos0013.png,6 - somewhat similar
373L46LKP76N4IRNR5J1XA6RVZHJK3,A1WY3YGT618GC0,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed51_pos0012.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed51_pos0013.png,9 - extremely similar
373L46LKP76N4IRNR5J1XA6RVZHJK3,A28AXX4NCWPH1F,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed51_pos0012.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed51_pos0013.png,8 - very similar
373L46LKP76N4IRNR5J1XA6RVZHJK3,A2Q0Q93MH7VY2T,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed51_pos0012.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed51_pos0013.png,8 - very similar
373L46LKP76N4IRNR5J1XA6RVZHJK3,A2RKE02I971RLE,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed51_pos0012.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed51_pos0013.png,9 - extremely similar
373L46LKP76N4IRNR5J1XA6RVZHJK3,AK4ZRSQMRTXTJ,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed51_pos0012.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed51_pos0013.png,9 - extremely similar
373L46LKP76N4IRNR5J1XA6RVZHJK3,AOMKIN1W9AS6A,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed51_pos0012.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed51_pos0013.png,8 - very similar
373L46LKP76N4IRNR5J1XA6RVZHJK3,ATMFPOU4YI9IK,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed51_pos0012.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed51_pos0013.png,6 - somewhat similar
3NCN4N1H1GHIU5EE0QY0RE4IHPDBNF,A12EETVU3IGPZZ,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed303_pos0002.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed303_pos0003.png,8 - very similar
3NCN4N1H1GHIU5EE0QY0RE4IHPDBNF,A1HN33NI2056CH,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed303_pos0002.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed303_pos0003.png,7 - mostly similar
3NCN4N1H1GHIU5EE0QY0RE4IHPDBNF,A1IEXVEKLDE2QQ,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed303_pos0002.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed303_pos0003.png,7 - mostly similar
3NCN4N1H1GHIU5EE0QY0RE4IHPDBNF,A1YSYI926BBOHW,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed303_pos0002.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed303_pos0003.png,6 - somewhat similar
3NCN4N1H1GHIU5EE0QY0RE4IHPDBNF,A27UA1G24XVSQT,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed303_pos0002.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed303_pos0003.png,9 - extremely similar
3NCN4N1H1GHIU5EE0QY0RE4IHPDBNF,A2WX023TSSPBAS,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed303_pos0002.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed303_pos0003.png,7 - mostly similar
3NCN4N1H1GHIU5EE0QY0RE4IHPDBNF,A39SK1E6IMQBD5,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed303_pos0002.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed303_pos0003.png,8 - very similar
3NCN4N1H1GHIU5EE0QY0RE4IHPDBNF,AK4ZRSQMRTXTJ,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed303_pos0002.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed303_pos0003.png,9 - extremely similar
3NCN4N1H1GHIU5EE0QY0RE4IHPDBNF,AY0BYO0OQKOXM,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed303_pos0002.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed303_pos0003.png,6 - somewhat similar
